customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,Tenure,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,partner_dependents,start_date,average_monthly,Match_average_monthly,contract_type_description,phone_type_descrption,internet_type_description
0017-IUDMW,Female,0,Yes,Yes,2,2,2,Credit card (automatic),$116.80,"$8,456.75",No,72,TRUE,FALSE,TRUE,TRUE,TRUE,3,20150418,$116.80,TRUE,2 Year,Two or More Lines,Fiber Optic
0018-NYROU,Female,0,Yes,No,1,2,0,Electronic check,$68.95,$351.50,No,5,TRUE,FALSE,TRUE,TRUE,TRUE,1,20201124,$68.95,TRUE,Month-to-Month,One Line,Fiber Optic
0019-EFAEP,Female,0,No,No,2,2,2,Bank transfer (automatic),$101.30,"$7,261.25",No,72,TRUE,FALSE,TRUE,TRUE,TRUE,0,20150510,$101.30,TRUE,2 Year,Two or More Lines,Fiber Optic
0019-GFNTW,Female,0,No,No,0,1,2,Bank transfer (automatic),$45.05,"$2,560.10",No,57,TRUE,FALSE,FALSE,TRUE,FALSE,0,20160804,$45.05,TRUE,2 Year,No Phone Service,DSL
0020-INWCK,Female,0,Yes,Yes,2,2,2,Credit card (automatic),$95.75,"$6,849.40",No,72,TRUE,FALSE,TRUE,TRUE,TRUE,3,20150515,$95.75,TRUE,2 Year,Two or More Lines,Fiber Optic
0020-JDNXP,Female,0,Yes,Yes,0,1,1,Mailed check,$61.25,"$1,993.20",No,33,TRUE,FALSE,FALSE,TRUE,FALSE,3,20180813,$61.25,TRUE,1 Year,No Phone Service,DSL
0021-IKXGC,Female,1,No,No,2,2,0,Electronic check,$72.10,$72.10,No,1,TRUE,FALSE,TRUE,TRUE,TRUE,0,20210329,$72.10,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0022-TCJCI,Male,1,No,No,1,1,1,Credit card (automatic),$62.70,"$2,791.50",Yes,45,FALSE,TRUE,TRUE,TRUE,TRUE,0,20170813,$62.70,TRUE,1 Year,One Line,DSL
0023-HGHWL,Male,1,No,No,0,1,0,Electronic check,$25.10,$25.10,Yes,1,FALSE,TRUE,FALSE,TRUE,FALSE,0,20210329,$25.10,TRUE,Month-to-Month,No Phone Service,DSL
0023-UYUPN,Female,1,Yes,No,2,0,1,Electronic check,$25.20,"$1,306.30",No,52,TRUE,FALSE,TRUE,FALSE,FALSE,1,20170103,$25.20,TRUE,1 Year,Two or More Lines,No Internet Service
0023-XUOPT,Female,0,Yes,No,2,2,0,Electronic check,$94.10,"$1,215.60",Yes,13,TRUE,TRUE,TRUE,TRUE,TRUE,1,20200401,$94.10,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0027-KWYKW,Female,0,Yes,Yes,2,2,0,Electronic check,$83.75,"$1,849.95",No,22,TRUE,FALSE,TRUE,TRUE,TRUE,3,20190627,$83.75,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0030-FNXPP,Female,0,No,No,1,0,0,Mailed check,$19.85,$57.20,No,3,TRUE,FALSE,TRUE,FALSE,FALSE,0,20210131,$19.85,TRUE,Month-to-Month,One Line,No Internet Service
0031-PVLZI,Female,0,Yes,Yes,1,0,0,Mailed check,$20.35,$76.35,Yes,4,TRUE,TRUE,TRUE,FALSE,FALSE,3,20210104,$20.35,TRUE,Month-to-Month,One Line,No Internet Service
0032-PGELS,Female,0,Yes,Yes,0,1,0,Bank transfer (automatic),$30.50,$30.50,Yes,1,TRUE,TRUE,FALSE,TRUE,FALSE,3,20210329,$30.50,TRUE,Month-to-Month,No Phone Service,DSL
0036-IHMOT,Female,0,Yes,Yes,1,2,1,Bank transfer (automatic),$103.70,"$5,656.75",No,55,TRUE,FALSE,TRUE,TRUE,TRUE,3,20161012,$103.70,TRUE,1 Year,One Line,Fiber Optic
0040-HALCW,Male,0,Yes,Yes,1,0,2,Credit card (automatic),$20.40,"$1,090.60",No,53,FALSE,FALSE,TRUE,FALSE,FALSE,3,20161114,$20.40,TRUE,2 Year,One Line,No Internet Service
0042-JVWOJ,Male,0,No,No,1,0,1,Bank transfer (automatic),$19.60,$471.85,No,24,FALSE,FALSE,TRUE,FALSE,FALSE,0,20190427,$19.60,TRUE,1 Year,One Line,No Internet Service
0042-RLHYP,Female,0,Yes,Yes,1,0,2,Bank transfer (automatic),$19.70,"$1,396.90",No,71,TRUE,FALSE,TRUE,FALSE,FALSE,3,20150603,$19.70,TRUE,2 Year,One Line,No Internet Service
0048-LUMLS,Male,0,Yes,Yes,1,2,1,Credit card (automatic),$91.20,"$3,247.55",No,36,FALSE,FALSE,TRUE,TRUE,TRUE,3,20180511,$91.20,TRUE,1 Year,One Line,Fiber Optic
0048-PIHNL,Female,0,Yes,No,1,0,1,Bank transfer (automatic),$20.45,$900.90,No,44,TRUE,FALSE,TRUE,FALSE,FALSE,1,20170828,$20.45,TRUE,1 Year,One Line,No Internet Service
0052-DCKON,Male,0,Yes,No,2,2,1,Bank transfer (automatic),$115.80,"$7,942.15",No,69,FALSE,FALSE,TRUE,TRUE,TRUE,1,20150812,$115.80,TRUE,1 Year,Two or More Lines,Fiber Optic
0052-YNYOT,Female,0,No,No,1,0,1,Electronic check,$20.55,"$1,343.40",No,65,TRUE,FALSE,TRUE,FALSE,FALSE,0,20151118,$20.55,TRUE,1 Year,One Line,No Internet Service
0056-EPFBG,Male,0,Yes,Yes,0,1,2,Credit card (automatic),$39.40,$825.40,No,21,FALSE,FALSE,FALSE,TRUE,FALSE,3,20190731,$39.40,TRUE,2 Year,No Phone Service,DSL
0057-QBUQH,Female,0,No,Yes,2,0,2,Electronic check,$25.10,"$1,070.15",No,43,TRUE,FALSE,TRUE,FALSE,FALSE,2,20171010,$25.10,TRUE,2 Year,Two or More Lines,No Internet Service
0058-EVZWM,Female,0,Yes,No,2,2,0,Bank transfer (automatic),$89.80,"$4,959.60",No,55,TRUE,FALSE,TRUE,TRUE,TRUE,1,20160922,$89.80,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0060-FUALY,Female,0,Yes,No,2,2,0,Electronic check,$94.75,"$5,597.65",No,59,TRUE,FALSE,TRUE,TRUE,TRUE,1,20160528,$94.75,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0064-SUDOG,Female,0,Yes,Yes,1,0,2,Bank transfer (automatic),$20.30,$224.50,No,11,TRUE,FALSE,TRUE,FALSE,FALSE,3,20200527,$20.30,TRUE,2 Year,One Line,No Internet Service
0064-YIJGF,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),$75.75,"$1,929.00",No,25,FALSE,FALSE,TRUE,TRUE,TRUE,3,20190316,$75.75,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0067-DKWBL,Male,1,No,No,1,1,0,Electronic check,$49.25,$91.10,Yes,2,FALSE,TRUE,TRUE,TRUE,TRUE,0,20210303,$49.25,TRUE,Month-to-Month,One Line,DSL
0068-FIGTF,Female,0,No,No,1,1,1,Mailed check,$78.20,"$2,078.95",No,27,TRUE,FALSE,TRUE,TRUE,TRUE,0,20190210,$78.20,TRUE,1 Year,One Line,DSL
0071-NDAFP,Male,0,Yes,Yes,2,0,2,Credit card (automatic),$25.50,$630.60,No,25,FALSE,FALSE,TRUE,FALSE,FALSE,3,20190407,$25.50,TRUE,2 Year,Two or More Lines,No Internet Service
0074-HDKDG,Male,0,Yes,Yes,1,1,1,Bank transfer (automatic),$61.60,"$1,611.00",No,26,FALSE,FALSE,TRUE,TRUE,TRUE,3,20190223,$61.60,TRUE,1 Year,One Line,DSL
0076-LVEPS,Male,0,No,Yes,0,1,0,Mailed check,$45.00,"$1,242.45",No,28,FALSE,FALSE,FALSE,TRUE,FALSE,2,20190110,$45.00,TRUE,Month-to-Month,No Phone Service,DSL
0078-XZMHT,Male,0,Yes,No,2,1,2,Bank transfer (automatic),$85.15,"$6,316.20",No,74,FALSE,FALSE,TRUE,TRUE,TRUE,1,20150223,$85.15,TRUE,2 Year,Two or More Lines,DSL
0080-EMYVY,Female,0,No,No,1,1,1,Credit card (automatic),$51.45,$727.85,No,14,TRUE,FALSE,TRUE,TRUE,TRUE,0,20200223,$51.45,TRUE,1 Year,One Line,DSL
0080-OROZO,Female,0,No,No,1,2,1,Electronic check,$99.25,"$3,532.00",No,36,TRUE,FALSE,TRUE,TRUE,TRUE,0,20180512,$99.25,TRUE,1 Year,One Line,Fiber Optic
0082-LDZUE,Male,0,No,No,1,1,0,Mailed check,$44.30,$44.30,No,1,FALSE,FALSE,TRUE,TRUE,TRUE,0,20210329,$44.30,TRUE,Month-to-Month,One Line,DSL
0082-OQIQY,Male,0,No,No,1,2,0,Electronic check,$94.20,"$2,607.60",No,28,FALSE,FALSE,TRUE,TRUE,TRUE,0,20190108,$94.20,TRUE,Month-to-Month,One Line,Fiber Optic
0083-PIVIK,Male,0,No,No,2,1,1,Electronic check,$81.25,"$5,567.55",No,69,FALSE,FALSE,TRUE,TRUE,TRUE,0,20150814,$81.25,TRUE,1 Year,Two or More Lines,DSL
0089-IIQKO,Female,0,Yes,Yes,2,2,0,Credit card (automatic),$99.95,"$3,767.40",No,38,TRUE,FALSE,TRUE,TRUE,TRUE,3,20180309,$99.95,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0093-EXYQL,Female,1,No,No,1,2,0,Electronic check,$91.55,"$3,673.60",No,40,TRUE,FALSE,TRUE,TRUE,TRUE,0,20171225,$91.55,TRUE,Month-to-Month,One Line,Fiber Optic
0093-XWZFY,Male,0,No,No,2,2,0,Credit card (automatic),$104.50,"$4,036.85",Yes,39,FALSE,TRUE,TRUE,TRUE,TRUE,0,20180208,$104.50,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0094-OIFMO,Female,1,No,No,1,2,0,Electronic check,$95.00,"$1,120.30",Yes,12,TRUE,TRUE,TRUE,TRUE,TRUE,0,20200505,$95.00,TRUE,Month-to-Month,One Line,Fiber Optic
0096-BXERS,Female,0,Yes,No,2,1,0,Electronic check,$50.35,$314.55,No,6,TRUE,FALSE,TRUE,TRUE,TRUE,1,20201020,$50.35,TRUE,Month-to-Month,Two or More Lines,DSL
0096-FCPUF,Male,0,No,No,2,1,0,Mailed check,$64.50,"$1,888.45",No,29,FALSE,FALSE,TRUE,TRUE,TRUE,0,20181120,$64.50,TRUE,Month-to-Month,Two or More Lines,DSL
0098-BOWSO,Male,0,No,No,1,0,0,Electronic check,$19.40,$529.80,No,27,FALSE,FALSE,TRUE,FALSE,FALSE,0,20190119,$19.40,TRUE,Month-to-Month,One Line,No Internet Service
0100-DUVFC,Male,1,Yes,No,2,2,1,Electronic check,$104.80,"$7,308.95",No,70,FALSE,FALSE,TRUE,TRUE,TRUE,1,20150708,$104.80,TRUE,1 Year,Two or More Lines,Fiber Optic
0103-CSITQ,Female,0,Yes,No,2,2,1,Bank transfer (automatic),$109.40,"$6,252.70",No,57,TRUE,FALSE,TRUE,TRUE,TRUE,1,20160725,$109.40,TRUE,1 Year,Two or More Lines,Fiber Optic
0104-PPXDV,Male,0,Yes,No,1,1,1,Credit card (automatic),$50.30,"$2,878.55",No,57,FALSE,FALSE,TRUE,TRUE,TRUE,1,20160723,$50.30,TRUE,1 Year,One Line,DSL
0106-GHRQR,Male,0,No,No,2,1,0,Bank transfer (automatic),$71.40,"$1,212.10",No,17,FALSE,FALSE,TRUE,TRUE,TRUE,0,20191129,$71.40,TRUE,Month-to-Month,Two or More Lines,DSL
0106-UGRDO,Female,0,Yes,No,2,2,2,Electronic check,$116.00,"$8,182.85",No,71,TRUE,FALSE,TRUE,TRUE,TRUE,1,20150614,$116.00,TRUE,2 Year,Two or More Lines,Fiber Optic
0107-WESLM,Male,0,No,No,1,0,0,Electronic check,$19.85,$19.85,Yes,1,FALSE,TRUE,TRUE,FALSE,FALSE,0,20210329,$19.85,TRUE,Month-to-Month,One Line,No Internet Service
0107-YHINA,Male,0,No,Yes,2,2,0,Electronic check,$99.75,$99.75,Yes,1,FALSE,TRUE,TRUE,TRUE,TRUE,2,20210329,$99.75,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0111-KLBQG,Male,1,Yes,Yes,1,2,0,Mailed check,$93.95,"$2,861.45",No,30,FALSE,FALSE,TRUE,TRUE,TRUE,3,20181015,$93.95,TRUE,Month-to-Month,One Line,Fiber Optic
0112-QAWRZ,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),$90.80,"$1,442.20",No,16,FALSE,FALSE,TRUE,TRUE,TRUE,3,20200101,$90.80,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0112-QWPNC,Male,0,Yes,No,2,1,1,Electronic check,$84.35,"$4,059.35",Yes,48,FALSE,TRUE,TRUE,TRUE,TRUE,1,20170426,$84.35,TRUE,1 Year,Two or More Lines,DSL
0114-IGABW,Female,0,Yes,No,0,1,2,Bank transfer (automatic),$58.25,"$4,145.90",No,71,TRUE,FALSE,FALSE,TRUE,FALSE,1,20150526,$58.25,TRUE,2 Year,No Phone Service,DSL
0114-PEGZZ,Female,0,No,No,2,2,0,Electronic check,$107.55,"$3,645.50",No,34,TRUE,FALSE,TRUE,TRUE,TRUE,0,20180703,$107.55,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0114-RSRRW,Female,0,Yes,No,1,0,0,Bank transfer (automatic),$19.95,$187.75,No,9,TRUE,FALSE,TRUE,FALSE,FALSE,1,20200716,$19.95,TRUE,Month-to-Month,One Line,No Internet Service
0115-TFERT,Male,0,Yes,No,2,2,0,Electronic check,$111.20,"$2,317.10",Yes,21,FALSE,TRUE,TRUE,TRUE,TRUE,1,20190804,$111.20,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0117-LFRMW,Male,0,Yes,Yes,0,1,0,Bank transfer (automatic),$40.20,"$1,448.80",Yes,36,FALSE,TRUE,FALSE,TRUE,FALSE,3,20180428,$40.20,TRUE,Month-to-Month,No Phone Service,DSL
0118-JPNOY,Female,1,No,No,1,2,0,Credit card (automatic),$85.80,"$2,193.65",No,26,TRUE,FALSE,TRUE,TRUE,TRUE,0,20190313,$85.80,TRUE,Month-to-Month,One Line,Fiber Optic
0121-SNYRK,Male,0,No,No,0,1,1,Mailed check,$35.40,"$1,748.90",No,49,FALSE,FALSE,FALSE,TRUE,FALSE,0,20170318,$35.40,TRUE,1 Year,No Phone Service,DSL
0122-OAHPZ,Female,0,No,No,2,2,0,Electronic check,$73.85,$511.25,Yes,7,TRUE,TRUE,TRUE,TRUE,TRUE,0,20200930,$73.85,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0123-CRBRT,Female,0,Yes,Yes,2,1,2,Mailed check,$88.10,"$5,526.75",No,63,TRUE,FALSE,TRUE,TRUE,TRUE,3,20160206,$88.10,TRUE,2 Year,Two or More Lines,DSL
0125-LZQXK,Male,0,No,No,1,2,0,Electronic check,$101.35,"$1,553.95",Yes,15,FALSE,TRUE,TRUE,TRUE,TRUE,0,20200118,$101.35,TRUE,Month-to-Month,One Line,Fiber Optic
0128-MKWSG,Female,0,No,Yes,0,1,0,Mailed check,$45.80,"$1,147.00",No,25,TRUE,FALSE,FALSE,TRUE,FALSE,2,20190329,$45.80,TRUE,Month-to-Month,No Phone Service,DSL
0129-KPTWJ,Male,0,Yes,No,1,2,0,Electronic check,$94.65,"$6,747.35",No,71,FALSE,FALSE,TRUE,TRUE,TRUE,1,20150522,$94.65,TRUE,Month-to-Month,One Line,Fiber Optic
0129-QMPDR,Male,0,Yes,Yes,1,0,1,Bank transfer (automatic),$20.50,$865.05,No,42,FALSE,FALSE,TRUE,FALSE,FALSE,3,20171023,$20.50,TRUE,1 Year,One Line,No Internet Service
0130-SXOUN,Male,0,No,No,2,2,0,Credit card (automatic),$89.40,"$5,976.90",No,67,FALSE,FALSE,TRUE,TRUE,TRUE,0,20151004,$89.40,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0133-BMFZO,Female,0,No,No,1,2,0,Electronic check,$86.25,$181.65,Yes,2,TRUE,TRUE,TRUE,TRUE,TRUE,0,20210223,$86.25,TRUE,Month-to-Month,One Line,Fiber Optic
0134-XWXCE,Female,1,No,No,1,1,1,Bank transfer (automatic),$74.85,"$3,268.05",No,44,TRUE,FALSE,TRUE,TRUE,TRUE,0,20170908,$74.85,TRUE,1 Year,One Line,DSL
0135-NMXAP,Female,0,No,No,2,2,0,Bank transfer (automatic),$89.75,"$1,052.40",Yes,12,TRUE,TRUE,TRUE,TRUE,TRUE,0,20200507,$89.75,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0136-IFMYD,Male,1,Yes,No,2,2,2,Electronic check,$109.95,"$7,634.25",No,69,FALSE,FALSE,TRUE,TRUE,TRUE,1,20150718,$109.95,TRUE,2 Year,Two or More Lines,Fiber Optic
0137-OCGAB,Female,0,No,No,2,2,0,Mailed check,$80.20,$80.20,Yes,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,20210329,$80.20,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0137-UDEUO,Female,0,No,No,1,0,0,Mailed check,$19.85,$63.75,Yes,3,TRUE,TRUE,TRUE,FALSE,FALSE,0,20210121,$19.85,TRUE,Month-to-Month,One Line,No Internet Service
0139-IVFJG,Female,0,Yes,No,1,2,0,Electronic check,$90.35,$190.50,No,2,TRUE,FALSE,TRUE,TRUE,TRUE,1,20210223,$90.35,TRUE,Month-to-Month,One Line,Fiber Optic
0141-YEAYS,Female,1,No,No,2,2,0,Bank transfer (automatic),$86.45,"$2,401.05",No,28,TRUE,FALSE,TRUE,TRUE,TRUE,0,20190105,$86.45,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0142-GVYSN,Male,0,No,No,1,0,0,Electronic check,$20.30,$511.25,No,25,FALSE,FALSE,TRUE,FALSE,FALSE,0,20190324,$20.30,TRUE,Month-to-Month,One Line,No Internet Service
0147-ESWWR,Female,1,Yes,No,2,2,0,Electronic check,$101.25,"$3,949.15",No,39,TRUE,FALSE,TRUE,TRUE,TRUE,1,20180128,$101.25,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0148-DCDOS,Male,0,No,No,2,2,0,Bank transfer (automatic),$94.70,"$2,362.10",Yes,25,FALSE,TRUE,TRUE,TRUE,TRUE,0,20190401,$94.70,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0151-ONTOV,Female,0,No,No,1,2,0,Mailed check,$70.90,$70.90,Yes,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,20210329,$70.90,TRUE,Month-to-Month,One Line,Fiber Optic
0156-FVPTA,Male,0,Yes,No,1,1,0,Electronic check,$54.20,"$1,152.70",Yes,21,FALSE,TRUE,TRUE,TRUE,TRUE,1,20190722,$54.20,TRUE,Month-to-Month,One Line,DSL
0164-APGRB,Female,0,No,No,2,2,2,Electronic check,$114.90,"$8,496.70",No,74,TRUE,FALSE,TRUE,TRUE,TRUE,0,20150302,$114.90,TRUE,2 Year,Two or More Lines,Fiber Optic
0164-XAIRP,Female,0,No,No,1,0,2,Bank transfer (automatic),$19.55,$470.20,No,24,TRUE,FALSE,TRUE,FALSE,FALSE,0,20190428,$19.55,TRUE,2 Year,One Line,No Internet Service
0168-XZKBB,Female,0,Yes,No,2,2,0,Electronic check,$86.85,"$1,564.40",No,18,TRUE,FALSE,TRUE,TRUE,TRUE,1,20191029,$86.85,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0174-QRVVY,Male,0,Yes,Yes,2,0,2,Credit card (automatic),$25.35,"$1,847.55",No,73,FALSE,FALSE,TRUE,FALSE,FALSE,3,20150404,$25.35,TRUE,2 Year,Two or More Lines,No Internet Service
0177-PXBAT,Male,1,Yes,No,2,2,0,Bank transfer (automatic),$109.90,"$3,694.70",No,34,FALSE,FALSE,TRUE,TRUE,TRUE,1,20180711,$109.90,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0178-CIIKR,Female,0,No,No,1,0,0,Mailed check,$19.95,$58.00,No,3,TRUE,FALSE,TRUE,FALSE,FALSE,0,20210130,$19.95,TRUE,Month-to-Month,One Line,No Internet Service
0178-SZBHO,Male,0,Yes,Yes,2,2,0,Electronic check,$87.20,"$4,017.45",No,46,FALSE,FALSE,TRUE,TRUE,TRUE,3,20170627,$87.20,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0181-RITDD,Male,0,Yes,Yes,1,2,2,Mailed check,$108.15,"$6,825.65",No,63,FALSE,FALSE,TRUE,TRUE,TRUE,3,20160126,$108.15,TRUE,2 Year,One Line,Fiber Optic
0186-CAERR,Male,0,No,No,2,2,1,Bank transfer (automatic),$116.30,"$8,309.55",No,71,FALSE,FALSE,TRUE,TRUE,TRUE,0,20150517,$116.30,TRUE,1 Year,Two or More Lines,Fiber Optic
0187-QSXOE,Male,1,Yes,No,1,2,0,Electronic check,$89.00,$605.45,No,7,FALSE,FALSE,TRUE,TRUE,TRUE,1,20201004,$89.00,TRUE,Month-to-Month,One Line,Fiber Optic
0187-WZNAB,Female,0,Yes,Yes,1,2,0,Mailed check,$74.40,"$1,972.35",No,27,TRUE,FALSE,TRUE,TRUE,TRUE,3,20190212,$74.40,TRUE,Month-to-Month,One Line,Fiber Optic
0188-GWFLE,Male,0,No,No,1,0,0,Mailed check,$20.05,$33.70,No,2,FALSE,FALSE,TRUE,FALSE,FALSE,0,20210308,$20.05,TRUE,Month-to-Month,One Line,No Internet Service
0191-EQUUH,Female,0,No,Yes,0,1,2,Bank transfer (automatic),$35.05,$844.45,No,24,TRUE,FALSE,FALSE,TRUE,FALSE,2,20190427,$35.05,TRUE,2 Year,No Phone Service,DSL
0191-ZHSKZ,Male,1,No,No,1,1,0,Electronic check,$74.75,"$2,111.30",No,28,FALSE,FALSE,TRUE,TRUE,TRUE,0,20181221,$74.75,TRUE,Month-to-Month,One Line,DSL
0193-ESZXP,Female,1,Yes,No,1,2,1,Credit card (automatic),$105.50,"$6,205.50",Yes,59,TRUE,TRUE,TRUE,TRUE,TRUE,1,20160604,$105.50,TRUE,1 Year,One Line,Fiber Optic
0195-IESCP,Male,0,Yes,No,2,2,0,Electronic check,$85.25,$855.30,Yes,10,FALSE,TRUE,TRUE,TRUE,TRUE,1,20200627,$85.25,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0196-JTUQI,Female,0,No,No,2,2,0,Credit card (automatic),$75.20,$633.85,No,8,TRUE,FALSE,TRUE,TRUE,TRUE,0,20200815,$75.20,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0196-VULGZ,Female,1,Yes,No,2,2,0,Electronic check,$84.35,$474.90,Yes,6,TRUE,TRUE,TRUE,TRUE,TRUE,1,20201108,$84.35,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0197-PNKNK,Female,0,Yes,Yes,2,2,1,Bank transfer (automatic),$84.45,"$5,848.60",No,69,TRUE,FALSE,TRUE,TRUE,TRUE,3,20150723,$84.45,TRUE,1 Year,Two or More Lines,Fiber Optic
0201-MIBOL,Female,1,No,No,2,2,2,Bank transfer (automatic),$102.40,"$6,471.85",No,63,TRUE,FALSE,TRUE,TRUE,TRUE,0,20160123,$102.40,TRUE,2 Year,Two or More Lines,Fiber Optic
0201-OAMXR,Female,0,No,No,2,2,1,Credit card (automatic),$115.55,"$8,127.60",Yes,70,TRUE,TRUE,TRUE,TRUE,TRUE,0,20150620,$115.55,TRUE,1 Year,Two or More Lines,Fiber Optic
0203-HHYIJ,Male,0,No,No,2,0,1,Bank transfer (automatic),$25.30,$676.35,Yes,27,FALSE,TRUE,TRUE,FALSE,FALSE,0,20190205,$25.30,TRUE,1 Year,Two or More Lines,No Internet Service
0206-OYVOC,Female,0,Yes,Yes,1,0,2,Mailed check,$19.25,$864.20,No,45,TRUE,FALSE,TRUE,FALSE,FALSE,3,20170802,$19.25,TRUE,2 Year,One Line,No Internet Service
0206-TBWLC,Female,0,Yes,No,2,2,1,Mailed check,$114.65,"$6,049.50",No,53,TRUE,FALSE,TRUE,TRUE,TRUE,1,20161206,$114.65,TRUE,1 Year,Two or More Lines,Fiber Optic
0207-MDKNV,Female,0,No,No,1,2,0,Electronic check,$105.10,"$1,582.75",Yes,15,TRUE,TRUE,TRUE,TRUE,TRUE,0,20200126,$105.10,TRUE,Month-to-Month,One Line,Fiber Optic
0208-BPQEJ,Female,0,Yes,Yes,1,0,0,Bank transfer (automatic),$19.40,$198.10,No,10,TRUE,FALSE,TRUE,FALSE,FALSE,3,20200622,$19.40,TRUE,Month-to-Month,One Line,No Internet Service
0212-ISBBF,Female,0,No,No,0,1,0,Electronic check,$50.35,"$1,098.85",No,22,TRUE,FALSE,FALSE,TRUE,FALSE,0,20190705,$50.35,TRUE,Month-to-Month,No Phone Service,DSL
0214-JHPFW,Female,0,Yes,No,0,1,2,Bank transfer (automatic),$57.80,"$4,039.30",No,70,TRUE,FALSE,FALSE,TRUE,FALSE,1,20150704,$57.80,TRUE,2 Year,No Phone Service,DSL
0215-BQKGS,Male,0,No,No,1,2,0,Credit card (automatic),$84.30,"$2,438.60",No,29,FALSE,FALSE,TRUE,TRUE,TRUE,0,20181201,$84.30,TRUE,Month-to-Month,One Line,Fiber Optic
